scorer,rule,threshold,false_accept_rate,fa_ci_low,fa_ci_high,accept_rate_correct_reference,acc_ci_low,acc_ci_high,n_false_accepts,n_adversarial
composite,fixed tau=0.6,0.6,0.0588,0.0,0.1852,0.3636,0.0588,0.7222,2,34
R_only,matched to composite accept-rate on correct-reference at tau=0.6,0.617,0.0,0.0,0.2973,0.3636,,,0,34
S1,matched to composite accept-rate on correct-reference at tau=0.6,0.405,0.1471,0.0,0.4118,0.3636,,,5,34
S2_eff,matched to composite accept-rate on correct-reference at tau=0.6,0.75,0.1176,0.0,0.25,0.4545,,,4,34
S1_plus_R,matched to composite accept-rate on correct-reference at tau=0.6,0.5361,0.0294,0.0,0.3,0.3636,,,1,34
composite,fixed tau=0.75,0.75,0.0,0.0,0.0,0.1364,0.0,0.3529,0,34
R_only,matched to composite accept-rate on correct-reference at tau=0.75,0.686,0.0,0.0,0.0,0.1364,,,0,34
S1,matched to composite accept-rate on correct-reference at tau=0.75,0.601,0.0,0.0,0.1515,0.1364,,,0,34
S2_eff,matched to composite accept-rate on correct-reference at tau=0.75,1.0,0.0,0.0,0.0,0.3182,,,0,34
S1_plus_R,matched to composite accept-rate on correct-reference at tau=0.75,0.6554,0.0,0.0,0.0,0.1364,,,0,34
