condition,training_seed,persona,eval_seed,mae,volatility,oscillation,final_difficulty,activations,attempted_boundary_final,overrides,raw_proposal_attempts_on_visited_states,final_actions
Fixed,-,struggling_junior,1001,2.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,struggling_junior,2002,2.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,struggling_junior,3003,2.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,struggling_junior,4004,2.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,struggling_junior,5005,2.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,overconfident_fail,1001,1.5,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,overconfident_fail,2002,1.5,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,overconfident_fail,3003,1.5,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,overconfident_fail,4004,1.5,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,overconfident_fail,5005,1.5,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,normal,1001,0.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,normal,2002,0.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,normal,3003,0.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Fixed,-,normal,4004,0.0,0.0,0.0,3.0,0,0,0,0,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
