condition,training_seed,sessions,mae,mae_sd_over_sessions,volatility,oscillation,rule_activations,action_overrides,unchanged_activations,attempted_boundary_final_action,sessions_with_attempted_boundary,sessions_with_override
Fixed,-,25,1.2,0.6922,0.0,0.0,0,0,0,0,0,0
Heuristic,-,25,0.4728,0.3168,0.16,0.0,0,0,0,0,0,0
Constant-Same raw,-,25,1.2,0.6922,0.0,0.0,0,0,0,0,0,0
Constant-Same+G,-,25,0.6728,0.5421,0.08,0.0,100,43,57,23,5,10
PPO raw,42,25,1.1272,0.6751,0.16,0.2,0,0,0,0,0,0
PPO raw,123,25,0.8037,0.5238,0.088,0.0267,0,0,0,60,10,0
PPO raw,456,25,1.1382,0.6314,0.036,0.0,0,0,0,2,1,0
PPO raw,789,25,0.8546,0.6329,0.04,0.0,0,0,0,40,5,0
PPO raw,999,25,0.8655,0.6231,0.064,0.08,0,0,0,34,5,0
PPO raw,pooled 5 seeds,125,0.9578,0.6262,0.0776,0.0613,0,0,0,136,21,0
PPO+G,42,25,0.6874,0.5325,0.268,0.2612,122,37,85,26,5,10
PPO+G,123,25,0.6728,0.5421,0.088,0.0267,101,12,89,71,10,5
PPO+G,456,25,0.6764,0.5396,0.208,0.1971,115,20,95,41,9,10
PPO+G,789,25,0.6728,0.5421,0.24,0.1778,120,18,102,33,5,8
PPO+G,999,25,0.6764,0.5396,0.128,0.1387,105,12,93,61,10,8
PPO+G,pooled 5 seeds,125,0.6772,0.5304,0.1864,0.1603,563,99,464,232,39,41
