condition,training_seed,persona,eval_seed,turn,difficulty_before,perf,conf,hes,resp_time,raw_action,final_action,guardrail_id,activation,override,final_action_attempts_boundary,raw_proposal_attempts_boundary_on_visited_state
Fixed,-,struggling_junior,1001,1,3.0,0.0,0.0,1.0,9.015,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,2,3.0,0.0,0.0,0.9621,9.145,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,3,3.0,0.0937,0.0,0.9801,9.61,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,4,3.0,0.0,0.0558,0.9465,9.106,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,5,3.0,0.0461,0.0,0.954,9.021,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,6,3.0,0.0514,0.0486,0.8916,9.405,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,7,3.0,0.0512,0.0,0.8305,8.823,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,8,3.0,0.0849,0.0301,1.0,10.265,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,9,3.0,0.0695,0.0,0.9785,10.372,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,1001,10,3.0,0.0353,0.0481,1.0,10.104,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,1,3.0,0.0,0.009,0.9933,11.225,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,2,3.0,0.05,0.032,0.8323,8.765,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,3,3.0,0.0062,0.0669,0.8693,8.746,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,4,3.0,0.0665,0.0601,1.0,9.823,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,5,3.0,0.0,0.0,0.9886,10.163,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,6,3.0,0.0043,0.0414,1.0,9.775,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,7,3.0,0.0428,0.0,0.9392,9.218,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,8,3.0,0.033,0.0,1.0,8.961,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,9,3.0,0.0698,0.0,1.0,10.302,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,2002,10,3.0,0.0,0.0,1.0,9.632,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,1,3.0,0.0278,0.0,0.9865,9.928,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,2,3.0,0.1074,0.0,0.9548,9.528,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,3,3.0,0.1178,0.0,0.9615,8.673,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,4,3.0,0.0737,0.0,0.9996,9.071,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,5,3.0,0.0,0.0325,0.9647,9.369,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,6,3.0,0.0174,0.0,1.0,9.93,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,7,3.0,0.0367,0.0306,0.9183,8.517,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,8,3.0,0.032,0.0,0.9794,9.253,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,9,3.0,0.0356,0.0,0.8792,9.448,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,3003,10,3.0,0.0236,0.0,0.9747,9.721,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,1,3.0,0.0634,0.0053,1.0,9.681,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,2,3.0,0.0422,0.0,0.9976,9.935,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,3,3.0,0.0491,0.0214,0.9933,9.359,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,4,3.0,0.081,0.0,0.9551,10.007,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,5,3.0,0.0607,0.008,1.0,10.688,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,6,3.0,0.051,0.0,0.9607,11.211,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,7,3.0,0.0227,0.0516,0.9722,9.794,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,8,3.0,0.0067,0.0,0.9827,10.756,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,9,3.0,0.0061,0.0389,0.9619,9.237,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,4004,10,3.0,0.0606,0.0324,0.9875,8.966,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,1,3.0,0.0,0.0174,0.9971,10.015,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,2,3.0,0.0939,0.0,1.0,10.053,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,3,3.0,0.0107,0.0074,1.0,10.063,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,4,3.0,0.0114,0.0271,1.0,10.366,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,5,3.0,0.0,0.0,1.0,10.313,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,6,3.0,0.1468,0.0316,0.9828,9.539,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,7,3.0,0.0476,0.0114,0.8819,9.184,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,8,3.0,0.0,0.0,0.9963,10.355,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,9,3.0,0.0,0.0,1.0,9.708,Same,Same,none,False,False,False,False
Fixed,-,struggling_junior,5005,10,3.0,0.0673,0.0541,0.936,9.031,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,1,3.0,0.0264,0.8372,0.2892,6.491,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,2,3.0,0.1202,0.8285,0.2474,6.789,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,3,3.0,0.1263,0.8422,0.2677,7.436,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,4,3.0,0.0687,0.8689,0.2421,6.798,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,5,3.0,0.0683,0.8058,0.2593,6.962,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,6,3.0,0.0016,0.8426,0.2023,6.793,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,7,3.0,0.1293,0.8843,0.2756,7.395,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,8,3.0,0.0523,0.8564,0.2338,6.897,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,9,3.0,0.1102,0.8387,0.2593,7.035,Same,Same,none,False,False,False,False
Fixed,-,overconfident_fail,1001,10,3.0,0.0875,0.88,0.285,7.24,Same,Same,none,False,False,False,False
