run_id,attack,config,rep,criteria_met,failed_criteria,status,exit_code,wall_s,host_ok
BEN.shipped.r1,BEN,shipped,1,True,,accepted,0,2.928,True
BEN.shipped.r2,BEN,shipped,2,True,,accepted,0,2.01,True
BEN.shipped.r3,BEN,shipped,3,True,,accepted,0,1.681,True
BEN.shipped.r4,BEN,shipped,4,True,,accepted,0,1.997,True
BEN.shipped.r5,BEN,shipped,5,True,,accepted,0,1.64,True
BEN.permissive-all.r1,BEN,permissive-all,1,True,,accepted,0,1.556,True
BEN.permissive-all.r2,BEN,permissive-all,2,True,,accepted,0,1.577,True
BEN.permissive-all.r3,BEN,permissive-all,3,True,,accepted,0,1.781,True
BEN.permissive-all.r4,BEN,permissive-all,4,True,,accepted,0,1.561,True
BEN.permissive-all.r5,BEN,permissive-all,5,True,,accepted,0,1.609,True
SEC-01.shipped.r1,SEC-01,shipped,1,True,,policy_blocked,,0.0,True
SEC-01.shipped.r2,SEC-01,shipped,2,True,,policy_blocked,,0.0,True
SEC-01.shipped.r3,SEC-01,shipped,3,True,,policy_blocked,,0.0,True
SEC-01.shipped.r4,SEC-01,shipped,4,True,,policy_blocked,,0.0,True
SEC-01.shipped.r5,SEC-01,shipped,5,True,,policy_blocked,,0.0,True
SEC-01.permissive.r1,SEC-01,permissive,1,False,status_policy_blocked;no_container_started,wrong_answer,0,1.693,True
SEC-01.permissive.r2,SEC-01,permissive,2,False,status_policy_blocked;no_container_started,wrong_answer,0,1.633,True
SEC-01.permissive.r3,SEC-01,permissive,3,False,status_policy_blocked;no_container_started,wrong_answer,0,1.687,True
SEC-01.permissive.r4,SEC-01,permissive,4,False,status_policy_blocked;no_container_started,wrong_answer,0,1.575,True
SEC-01.permissive.r5,SEC-01,permissive,5,False,status_policy_blocked;no_container_started,wrong_answer,0,1.594,True
SEC-02.shipped.r1,SEC-02,shipped,1,True,,wrong_answer,0,1.633,True
SEC-02.shipped.r2,SEC-02,shipped,2,True,,wrong_answer,0,1.657,True
SEC-02.shipped.r3,SEC-02,shipped,3,True,,wrong_answer,0,1.753,True
SEC-02.shipped.r4,SEC-02,shipped,4,True,,wrong_answer,0,1.883,True
SEC-02.shipped.r5,SEC-02,shipped,5,True,,wrong_answer,0,1.716,True
SEC-02.permissive.r1,SEC-02,permissive,1,False,connect_failed;listener_no_connection;host_unchanged,wrong_answer,0,2.016,False
SEC-02.permissive.r2,SEC-02,permissive,2,False,connect_failed;listener_no_connection;host_unchanged,wrong_answer,0,1.988,False
SEC-02.permissive.r3,SEC-02,permissive,3,False,connect_failed;listener_no_connection;host_unchanged,wrong_answer,0,2.419,False
SEC-02.permissive.r4,SEC-02,permissive,4,False,connect_failed;listener_no_connection;host_unchanged,wrong_answer,0,2.506,False
SEC-02.permissive.r5,SEC-02,permissive,5,False,connect_failed;listener_no_connection;host_unchanged,wrong_answer,0,1.987,False
SEC-03.shipped.r1,SEC-03,shipped,1,True,,compilation_error,,1.048,True
SEC-03.shipped.r2,SEC-03,shipped,2,True,,compilation_error,,1.046,True
SEC-03.shipped.r3,SEC-03,shipped,3,True,,compilation_error,,1.046,True
SEC-03.shipped.r4,SEC-03,shipped,4,True,,compilation_error,,1.013,True
SEC-03.shipped.r5,SEC-03,shipped,5,True,,compilation_error,,1.096,True
SEC-04.shipped.r1,SEC-04,shipped,1,True,,runtime_error,139,1.786,True
SEC-04.shipped.r2,SEC-04,shipped,2,True,,runtime_error,139,1.685,True
SEC-04.shipped.r3,SEC-04,shipped,3,True,,runtime_error,139,3.106,True
SEC-04.shipped.r4,SEC-04,shipped,4,True,,runtime_error,139,2.612,True
SEC-04.shipped.r5,SEC-04,shipped,5,True,,runtime_error,139,2.305,True
SEC-05.shipped.r1,SEC-05,shipped,1,True,,timeout,124,4.644,True
SEC-05.shipped.r2,SEC-05,shipped,2,True,,timeout,124,4.465,True
SEC-05.shipped.r3,SEC-05,shipped,3,True,,timeout,124,4.647,True
SEC-05.shipped.r4,SEC-05,shipped,4,True,,timeout,124,3.914,True
SEC-05.shipped.r5,SEC-05,shipped,5,True,,timeout,124,3.651,True
SEC-05.permissive.r1,SEC-05,permissive,1,False,within_cpu_bound,timeout,124,13.651,True
SEC-05.permissive.r2,SEC-05,permissive,2,False,within_cpu_bound,timeout,124,13.756,True
SEC-05.permissive.r3,SEC-05,permissive,3,False,within_cpu_bound,timeout,124,13.965,True
SEC-05.permissive.r4,SEC-05,permissive,4,False,within_cpu_bound,timeout,124,13.684,True
SEC-05.permissive.r5,SEC-05,permissive,5,False,within_cpu_bound,timeout,124,13.767,True
SEC-06.shipped.r1,SEC-06,shipped,1,True,,memory_limit,137,1.957,True
SEC-06.shipped.r2,SEC-06,shipped,2,True,,memory_limit,137,2.598,True
SEC-06.shipped.r3,SEC-06,shipped,3,True,,memory_limit,137,2.388,True
SEC-06.shipped.r4,SEC-06,shipped,4,True,,memory_limit,137,1.839,True
SEC-06.shipped.r5,SEC-06,shipped,5,True,,memory_limit,137,1.902,True
SEC-06.permissive.r1,SEC-06,permissive,1,False,killed;did_not_complete_touch,wrong_answer,0,2.514,True
SEC-06.permissive.r2,SEC-06,permissive,2,False,killed;did_not_complete_touch,wrong_answer,0,1.882,True
SEC-06.permissive.r3,SEC-06,permissive,3,False,killed;did_not_complete_touch,wrong_answer,0,1.925,True
SEC-06.permissive.r4,SEC-06,permissive,4,False,killed;did_not_complete_touch,wrong_answer,0,2.414,True
SEC-06.permissive.r5,SEC-06,permissive,5,False,killed;did_not_complete_touch,wrong_answer,0,2.126,True
SEC-07.shipped.r1,SEC-07,shipped,1,True,,wrong_answer,0,2.026,True
SEC-07.shipped.r2,SEC-07,shipped,2,True,,wrong_answer,0,1.694,True
SEC-07.shipped.r3,SEC-07,shipped,3,True,,wrong_answer,0,1.733,True
SEC-07.shipped.r4,SEC-07,shipped,4,True,,wrong_answer,0,1.736,True
SEC-07.shipped.r5,SEC-07,shipped,5,True,,wrong_answer,0,1.903,True
