scorer,spearman,sp_ci_low,sp_ci_high,kendall_tau_b,kt_ci_low,kt_ci_high,auroc_correct_vs_adversarial,auc_ci_low,auc_ci_high,valid_reps
derived_ce,0.4825,0.244,0.6953,0.348,0.1743,0.5364,0.7821,0.6422,0.9254,10000
upstream_ce,0.1454,-0.1532,0.4535,0.099,-0.1024,0.3216,0.5842,0.4076,0.7732,10000
tfidf,0.245,-0.0049,0.5536,0.177,0.0102,0.4208,0.6364,0.4787,0.8121,10000
bm25,0.3812,0.1374,0.6266,0.267,0.096,0.4703,0.7259,0.5909,0.8681,10000
token_overlap,0.4301,0.1652,0.6574,0.2996,0.1037,0.4943,0.7834,0.6334,0.9249,10000
length_only,0.4897,0.2186,0.708,0.3725,0.1616,0.5759,0.8864,0.7838,0.963,10000
ref_S1,0.207,-0.0231,0.5027,0.1406,-0.0171,0.3607,0.627,0.478,0.8175,10000
ref_S2_eff,0.3006,-0.0057,0.6523,0.2528,0.0062,0.5526,0.6444,0.4743,0.8675,9991
ref_R_mapped,0.4832,0.2453,0.6956,0.3492,0.1747,0.5379,0.7821,0.6422,0.9254,10000
ref_composite_deployed,0.3812,0.1529,0.6473,0.2715,0.1142,0.5015,0.7206,0.5769,0.8943,10000
