contrast,metric,point,ci_low,ci_high,valid_reps,role
derived_ce - upstream_ce,spearman,0.337,0.0418,0.6057,10000,PRIMARY (mapping-independent)
derived_ce - upstream_ce,kendall_tau_b,0.249,0.0339,0.4595,10000,PRIMARY (mapping-independent)
derived_ce - upstream_ce,auroc,0.1979,0.0277,0.3668,10000,PRIMARY (mapping-independent)
derived_ce - tfidf,spearman,0.2374,-0.0973,0.5447,10000,secondary (descriptive)
derived_ce - tfidf,kendall_tau_b,0.171,-0.0814,0.4031,10000,secondary (descriptive)
derived_ce - tfidf,auroc,0.1457,-0.0436,0.3354,10000,secondary (descriptive)
derived_ce - bm25,spearman,0.1013,-0.1683,0.366,10000,secondary (descriptive)
derived_ce - bm25,kendall_tau_b,0.081,-0.1282,0.29,10000,secondary (descriptive)
derived_ce - bm25,auroc,0.0561,-0.1012,0.2173,10000,secondary (descriptive)
derived_ce - token_overlap,spearman,0.0524,-0.1366,0.2572,10000,secondary (descriptive)
derived_ce - token_overlap,kendall_tau_b,0.0484,-0.1119,0.2223,10000,secondary (descriptive)
derived_ce - token_overlap,auroc,-0.0013,-0.1177,0.1223,10000,secondary (descriptive)
derived_ce - length_only,spearman,-0.0073,-0.2217,0.2148,10000,secondary (descriptive)
derived_ce - length_only,kendall_tau_b,-0.0245,-0.2235,0.1783,10000,secondary (descriptive)
derived_ce - length_only,auroc,-0.1043,-0.2265,0.0232,10000,secondary (descriptive)
