condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
Constant-Same | off,-,frozen,frozen:struggling_junior,0,1001,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,2002,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,3003,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,4004,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,5005,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,6006,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,7007,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,8008,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,9009,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,10010,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,11011,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,12012,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,13013,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,14014,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
Constant-Same | off,-,frozen,frozen:struggling_junior,0,15015,1.0,2.000000,0.000000,0.000000,3.0,0,0,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
