condition,n_train_seeds,mae,volatility,oscillation,oracle_agreement,activations,overrides,attempted_boundary
Constant-Same | G,1,0.67273,0.08,0.0,0.497,3.81,1.55,0.75
Constant-Same | G-minus-G1,1,0.85455,0.04,0.0,0.497,3.41,1.15,0.75
Constant-Same | G-minus-G2,1,0.67273,0.08,0.0,0.497,3.55,1.55,0.75
Constant-Same | G-minus-G4,1,0.67273,0.08,0.0,0.497,3.42,0.8,0.0
Constant-Same | G-minus-G5,1,0.67273,0.08,0.0,0.497,2.19,1.55,0.75
Constant-Same | G-minus-G6,1,0.67273,0.08,0.0,0.497,3.81,1.55,0.75
Constant-Same | off,1,1.2,0.0,0.0,0.494,0.0,0.0,0.0
Controller | G,1,0.48364,0.161,0.075,0.545,3.84,1.66,0.7
Controller | off,1,0.51091,0.22,0.27,0.614,0.0,0.0,0.0
Heuristic | G,1,0.47273,0.16,0.0,0.611,3.81,0.75,0.75
Heuristic | off,1,0.47273,0.16,0.0,0.611,0.0,0.0,0.0
Oracle-rule | G,1,0.50727,0.1,0.0,1.0,3.81,0.26,2.91
Oracle-rule | off,1,0.50727,0.1,0.0,1.0,0.0,0.0,3.17
PPO | G,5,0.678,0.1914,0.1759,0.7828,4.322,0.74,1.832
PPO | G-minus-G1,5,0.80873,0.096,0.086,0.723,3.44,0.38,1.51
PPO | G-minus-G2,5,0.68036,0.1966,0.1911,0.7844,4.078,0.484,2.036
PPO | G-minus-G4,5,0.67818,0.1918,0.17724,0.7828,3.952,1.08,1.484
PPO | G-minus-G5,5,0.678,0.1914,0.1759,0.7828,2.702,0.74,1.832
PPO | G-minus-G6,5,0.678,0.1914,0.1759,0.7828,4.322,0.74,1.832
PPO | off,5,0.95891,0.0796,0.0648,0.6576,0.0,0.0,1.062
PPO-state-shuffle | G,5,0.996,0.1852,0.14791,0.4206,3.874,1.144,2.198
PPO-state-shuffle | off,5,1.30291,0.0796,0.0648,0.437,0.0,0.0,1.062
PPO-state-zero | G,5,1.36364,0.16,0.0,0.397,3.81,2.26,6.14
PPO-state-zero | off,5,1.70909,0.2,0.0,0.397,0.0,0.0,8.0
Random | G,1,0.81182,0.422,0.46575,0.335,4.18,2.86,1.57
Random | off,1,1.55,0.562,0.58045,0.332,0.0,0.0,0.99
