contrast,metric,point,ci_low,ci_high,n_personas,n_train_seeds,label
PPO | G minus Heuristic | G,mae,0.20527,0.006,0.55818,5,5,descriptive (no error control)
PPO | G minus Heuristic | G,volatility,0.0314,-0.1596,0.2948,5,5,descriptive (no error control)
PPO | G minus Oracle-rule | G,mae,0.17073,-0.00364,0.49855,5,5,descriptive (no error control)
PPO | G minus Oracle-rule | G,volatility,0.0914,-0.0452,0.3238,5,5,descriptive (no error control)
PPO | G minus Controller | G,mae,0.19436,-0.00764,0.55255,5,5,descriptive (no error control)
PPO | G minus Controller | G,volatility,0.0304,-0.1388,0.28768,5,5,descriptive (no error control)
PPO | off minus Constant-Same | off,mae,-0.24109,-0.664,0.0,5,5,descriptive (no error control)
PPO | off minus Constant-Same | off,volatility,0.0796,0.0,0.212,5,5,descriptive (no error control)
PPO-state-zero | G minus PPO | G,mae,0.68564,-0.01509,1.38727,5,5,descriptive (no error control)
PPO-state-zero | G minus PPO | G,volatility,-0.0314,-0.30202,0.1596,5,5,descriptive (no error control)
PPO-state-shuffle | G minus PPO | G,mae,0.318,-0.00364,0.93964,5,5,descriptive (no error control)
PPO-state-shuffle | G minus PPO | G,volatility,-0.0062,-0.27282,0.2064,5,5,descriptive (no error control)
Constant-Same | G minus Constant-Same | off,mae,-0.52727,-1.21818,0.0,5,1,descriptive (no error control)
Constant-Same | G minus Constant-Same | off,volatility,0.08,0.0,0.16,5,1,descriptive (no error control)
Random | G minus Constant-Same | G,mae,0.13909,0.01818,0.27182,5,1,descriptive (no error control)
Random | G minus Constant-Same | G,volatility,0.342,0.142,0.537,5,1,descriptive (no error control)
Heuristic | G minus Constant-Same | G,mae,-0.2,-0.56364,0.0,5,1,descriptive (no error control)
Heuristic | G minus Constant-Same | G,volatility,0.08,0.0,0.16,5,1,descriptive (no error control)
Oracle-rule | G minus Constant-Same | G,mae,-0.16545,-0.49636,0.0,5,1,descriptive (no error control)
Oracle-rule | G minus Constant-Same | G,volatility,0.02,0.0,0.06,5,1,descriptive (no error control)
Controller | G minus Constant-Same | G,mae,-0.18909,-0.55273,0.02182,5,1,descriptive (no error control)
Controller | G minus Constant-Same | G,volatility,0.081,0.02,0.142,5,1,descriptive (no error control)
PPO | G-minus-G4 minus PPO | G,mae,0.00018,0.0,0.00109,5,5,descriptive rule ablation
Constant-Same | G-minus-G4 minus Constant-Same | G,mae,0.0,0.0,0.0,5,1,descriptive rule ablation
PPO | G-minus-G1 minus PPO | G,mae,0.13073,0.0,0.41291,5,5,descriptive rule ablation
Constant-Same | G-minus-G1 minus Constant-Same | G,mae,0.18182,0.0,0.54545,5,1,descriptive rule ablation
PPO | G-minus-G2 minus PPO | G,mae,0.00236,0.0,0.00927,5,5,descriptive rule ablation
Constant-Same | G-minus-G2 minus Constant-Same | G,mae,0.0,0.0,0.0,5,1,descriptive rule ablation
PPO | G-minus-G5 minus PPO | G,mae,0.0,0.0,0.0,5,5,descriptive rule ablation
Constant-Same | G-minus-G5 minus Constant-Same | G,mae,0.0,0.0,0.0,5,1,descriptive rule ablation
PPO | G-minus-G6 minus PPO | G,mae,0.0,0.0,0.0,5,5,descriptive rule ablation
Constant-Same | G-minus-G6 minus Constant-Same | G,mae,0.0,0.0,0.0,5,1,descriptive rule ablation
