persona_id,stratum,type,skill,target
normal@0.20,grid,normal,0.2,1.0
normal@0.30,grid,normal,0.3,1.5
normal@0.40,grid,normal,0.4,2.0
normal@0.50,grid,normal,0.5,2.5
normal@0.60,grid,normal,0.6,3.0
normal@0.70,grid,normal,0.7,3.5
normal@0.80,grid,normal,0.8,4.0
normal@0.90,grid,normal,0.9,4.5
nervous_expert@0.20,grid,nervous_expert,0.2,1.0
nervous_expert@0.30,grid,nervous_expert,0.3,1.5
nervous_expert@0.40,grid,nervous_expert,0.4,2.0
nervous_expert@0.50,grid,nervous_expert,0.5,2.5
nervous_expert@0.60,grid,nervous_expert,0.6,3.0
nervous_expert@0.70,grid,nervous_expert,0.7,3.5
nervous_expert@0.80,grid,nervous_expert,0.8,4.0
nervous_expert@0.90,grid,nervous_expert,0.9,4.5
lucky_guesser@0.20,grid,lucky_guesser,0.2,1.0
lucky_guesser@0.30,grid,lucky_guesser,0.3,1.5
lucky_guesser@0.40,grid,lucky_guesser,0.4,2.0
lucky_guesser@0.50,grid,lucky_guesser,0.5,2.5
lucky_guesser@0.60,grid,lucky_guesser,0.6,3.0
lucky_guesser@0.70,grid,lucky_guesser,0.7,3.5
lucky_guesser@0.80,grid,lucky_guesser,0.8,4.0
lucky_guesser@0.90,grid,lucky_guesser,0.9,4.5
overconfident_fail@0.20,grid,overconfident_fail,0.2,1.0
overconfident_fail@0.30,grid,overconfident_fail,0.3,1.5
overconfident_fail@0.40,grid,overconfident_fail,0.4,2.0
overconfident_fail@0.50,grid,overconfident_fail,0.5,2.5
overconfident_fail@0.60,grid,overconfident_fail,0.6,3.0
overconfident_fail@0.70,grid,overconfident_fail,0.7,3.5
overconfident_fail@0.80,grid,overconfident_fail,0.8,4.0
overconfident_fail@0.90,grid,overconfident_fail,0.9,4.5
struggling_junior@0.20,grid,struggling_junior,0.2,1.0
struggling_junior@0.30,grid,struggling_junior,0.3,1.5
struggling_junior@0.40,grid,struggling_junior,0.4,2.0
struggling_junior@0.50,grid,struggling_junior,0.5,2.5
struggling_junior@0.60,grid,struggling_junior,0.6,3.0
struggling_junior@0.70,grid,struggling_junior,0.7,3.5
struggling_junior@0.80,grid,struggling_junior,0.8,4.0
struggling_junior@0.90,grid,struggling_junior,0.9,4.5
frozen:struggling_junior,frozen,struggling_junior,0.2,1.0
frozen:overconfident_fail,frozen,overconfident_fail,0.3,1.5
frozen:normal,frozen,normal,0.6,3.0
frozen:lucky_guesser,frozen,lucky_guesser,0.8,4.0
frozen:nervous_expert,frozen,nervous_expert,0.88,4.5
