condition,n_train_seeds,mae,volatility,oscillation,oracle_agreement,activations,overrides,attempted_boundary
Constant-Same | G,1,1.10386,0.0975,0.0,0.433,2.3925,1.41125,0.43625
Constant-Same | G-minus-G1,1,0.9583,0.0575,0.0,0.433,1.92375,0.9425,0.3675
Constant-Same | G-minus-G2,1,1.10386,0.0975,0.0,0.433,2.0975,1.41125,0.43625
Constant-Same | G-minus-G4,1,1.10386,0.0975,0.0,0.433,2.12625,0.975,0.0
Constant-Same | G-minus-G5,1,1.10386,0.0975,0.0,0.433,1.8325,1.41125,0.43625
Constant-Same | G-minus-G6,1,1.12591,0.095,0.0,0.41125,2.3675,1.38625,0.43625
Constant-Same | off,1,1.0,0.0,0.0,0.36612,0.0,0.0,0.0
Controller | G,1,1.36966,0.23275,0.19567,0.55812,2.71,1.16875,0.37375
Controller | off,1,1.37341,0.25538,0.24822,0.5805,0.0,0.0,0.00125
Heuristic | G,1,1.53295,0.181,0.00375,0.58163,2.56125,0.67625,0.51375
Heuristic | off,1,1.53864,0.1825,0.00631,0.5685,0.0,0.0,0.0
Oracle-rule | G,1,1.1758,0.14012,0.04205,1.0,2.69625,0.395,2.9375
Oracle-rule | off,1,1.18148,0.15763,0.04689,1.0,0.0,0.0,3.16125
PPO | G,5,1.06882,0.24627,0.25061,0.6769,3.1905,1.47875,1.608
PPO | G-minus-G1,5,0.98157,0.12958,0.12998,0.60765,2.20425,1.0455,1.25875
PPO | G-minus-G2,5,1.06714,0.2648,0.27476,0.67405,2.75175,1.2015,1.69425
PPO | G-minus-G4,5,1.06814,0.24795,0.25464,0.6772,2.94125,1.6275,1.4235
PPO | G-minus-G5,5,1.08636,0.2828,0.29662,0.68737,2.7555,1.17075,1.61175
PPO | G-minus-G6,5,1.073,0.24585,0.25061,0.67305,3.168,1.47125,1.608
PPO | off,5,0.93834,0.08043,0.07445,0.49852,0.0,0.0,0.56075
PPO-state-shuffle | G,5,1.32264,0.3282,0.2651,0.32085,2.75075,1.564,2.3495
PPO-state-shuffle | off,5,1.13814,0.08043,0.07445,0.32838,0.0,0.0,0.56075
PPO-state-zero | G,5,1.43864,0.2675,0.08622,0.41625,2.77625,1.4175,6.35375
PPO-state-zero | off,5,1.625,0.2,0.0,0.41088,0.0,0.0,8.0
Random | G,1,1.22273,0.5115,0.57152,0.32675,3.28875,2.1875,1.44
Random | off,1,1.3958,0.56863,0.57851,0.3305,0.0,0.0,0.9825
