seed,timestep,episode,latest_reward,mean_reward_rolling,action_easier_pct,action_same_pct,action_harder_pct
123,256,17,0.265,0.024,0.3398,0.3008,0.3594
123,512,34,0.2885,0.1286,0.332,0.3262,0.3418
123,768,51,0.1689,-0.0122,0.3424,0.319,0.3385
123,1024,68,0.3133,0.0172,0.3418,0.3281,0.3301
123,1280,85,0.2712,0.0274,0.3492,0.3164,0.3344
123,1536,102,0.31,0.0252,0.3574,0.3164,0.3262
123,1792,119,0.2952,0.0454,0.3538,0.3198,0.3265
123,2048,136,0.3467,0.1196,0.3467,0.3247,0.3286
123,2304,153,-0.5535,0.0147,0.3424,0.3255,0.332
123,2560,170,-0.2854,0.0717,0.3371,0.3305,0.3324
123,2816,187,-0.7341,-0.0259,0.3338,0.331,0.3352
123,3072,204,0.271,0.0223,0.3294,0.3294,0.3411
123,3328,221,0.213,0.059,0.3287,0.3311,0.3401
123,3584,238,0.3125,0.029,0.3284,0.3323,0.3393
123,3840,256,-0.1675,0.0706,0.3268,0.3307,0.3424
123,4096,273,0.3823,0.1883,0.3247,0.3333,0.342
123,4352,290,-0.1436,0.0576,0.3233,0.3343,0.3424
123,4608,307,0.246,0.1011,0.3201,0.339,0.3409
123,4864,324,0.2568,0.0832,0.3178,0.3429,0.3392
123,5120,341,0.3229,0.1241,0.3152,0.3416,0.3432
123,5376,358,0.3404,0.0767,0.3145,0.3426,0.3428
123,5632,375,-0.2797,0.1148,0.3114,0.3462,0.3423
123,5888,392,0.1915,0.1358,0.3093,0.3488,0.3419
123,6144,409,0.1986,0.2097,0.3097,0.3494,0.3408
123,6400,426,0.2228,0.1036,0.3084,0.3511,0.3405
123,6656,443,0.315,0.1533,0.308,0.3531,0.3389
123,6912,460,0.2497,0.146,0.306,0.3543,0.3397
123,7168,477,0.3213,0.1692,0.3047,0.3556,0.3397
123,7424,494,0.1711,0.1794,0.3028,0.3561,0.3411
123,7680,512,-0.2036,0.0706,0.302,0.3585,0.3396
123,7936,529,0.3053,0.1575,0.3,0.3599,0.3401
123,8192,546,0.3638,0.0933,0.2997,0.3605,0.3398
123,8448,563,-0.2124,0.14,0.2971,0.3625,0.3404
123,8704,580,0.2042,0.1177,0.295,0.3647,0.3403
123,8960,597,0.2138,0.1244,0.2945,0.3664,0.3391
123,9216,614,-0.2249,0.1637,0.2931,0.3689,0.338
123,9472,631,0.3015,0.1615,0.2909,0.3713,0.3378
123,9728,648,-0.2293,0.1144,0.2894,0.373,0.3376
123,9984,665,-0.5039,0.1026,0.2879,0.3742,0.3379
123,10240,682,0.2507,0.1753,0.2869,0.3762,0.3369
123,10496,699,0.3188,0.0916,0.2853,0.3786,0.3361
123,10752,716,0.2643,0.1476,0.2831,0.3818,0.3351
123,11008,733,0.2831,0.0735,0.2814,0.3838,0.3348
123,11264,750,0.3029,0.1684,0.2793,0.386,0.3347
123,11520,768,0.2992,0.1433,0.2769,0.3888,0.3343
123,11776,785,0.3057,0.0873,0.2752,0.392,0.3328
123,12032,802,0.3017,0.1123,0.2739,0.392,0.3341
123,12288,819,0.2023,0.1898,0.2722,0.3943,0.3335
123,12544,836,-0.3088,0.1272,0.2704,0.3963,0.3333
123,12800,853,0.1796,0.2226,0.2679,0.4002,0.332
123,13056,870,0.2713,0.1846,0.2659,0.4032,0.331
123,13312,887,0.254,0.2013,0.264,0.4068,0.3293
123,13568,904,0.1334,0.2189,0.262,0.4098,0.3282
123,13824,921,0.2285,0.1861,0.2603,0.4121,0.3275
