seed,timestep,episode,latest_reward,mean_reward_rolling,action_easier_pct,action_same_pct,action_harder_pct
42,256,17,0.3329,0.0896,0.2969,0.3398,0.3633
42,512,34,-0.2162,0.0921,0.3203,0.3613,0.3184
42,768,51,0.2484,0.0383,0.3346,0.3359,0.3294
42,1024,68,0.24,0.0296,0.3379,0.3447,0.3174
42,1280,85,0.1934,-0.0225,0.3406,0.3398,0.3195
42,1536,102,0.1884,0.1385,0.3418,0.3398,0.3184
42,1792,119,0.1623,0.0729,0.3404,0.3398,0.3198
42,2048,136,0.3329,0.0697,0.3447,0.3369,0.3184
42,2304,153,-0.3774,0.1165,0.339,0.339,0.322
42,2560,170,-0.2421,0.1211,0.3336,0.3359,0.3305
42,2816,187,0.2615,0.0755,0.3299,0.3388,0.3313
42,3072,204,-0.2154,0.0147,0.3278,0.3372,0.335
42,3328,221,0.2581,0.0849,0.3257,0.3401,0.3341
42,3584,238,-0.5866,0.0956,0.3298,0.3343,0.3359
42,3840,256,0.3049,0.1231,0.3284,0.3336,0.338
42,4096,273,0.3935,0.0182,0.3252,0.334,0.3408
42,4352,290,0.377,0.0971,0.3208,0.3382,0.341
42,4608,307,0.2483,0.0853,0.3171,0.3427,0.3403
42,4864,324,0.2299,0.1015,0.3154,0.3423,0.3423
42,5120,341,0.3069,0.1468,0.3141,0.34,0.3459
42,5376,358,0.2894,0.1639,0.3119,0.3423,0.3458
42,5632,375,0.3519,0.0851,0.3095,0.3441,0.3464
42,5888,392,0.2797,0.0997,0.3066,0.348,0.3454
42,6144,409,0.3049,0.0353,0.3058,0.3478,0.3464
42,6400,426,0.2872,0.1094,0.3017,0.352,0.3463
42,6656,443,-0.5261,0.0922,0.2979,0.3541,0.348
42,6912,460,-0.2107,0.0935,0.2957,0.356,0.3482
42,7168,477,0.2981,0.003,0.2949,0.3544,0.3507
42,7424,494,0.2529,0.1155,0.2916,0.3567,0.3517
42,7680,512,0.2246,0.1234,0.288,0.3592,0.3527
42,7936,529,0.3166,0.1206,0.286,0.361,0.3529
42,8192,546,0.2513,0.1343,0.2843,0.3611,0.3546
42,8448,563,-0.2445,0.1123,0.2811,0.3659,0.353
42,8704,580,-0.2605,0.1841,0.2792,0.3689,0.3519
42,8960,597,0.1298,0.1755,0.2768,0.3705,0.3527
42,9216,614,0.2161,0.1344,0.2737,0.3733,0.3531
42,9472,631,0.3034,0.1398,0.2704,0.3772,0.3524
42,9728,648,0.2438,0.053,0.2683,0.3784,0.3533
42,9984,665,0.266,0.1267,0.2665,0.3808,0.3527
42,10240,682,0.1406,0.1287,0.2655,0.382,0.3524
42,10496,699,-0.6207,0.186,0.2629,0.3853,0.3518
42,10752,716,0.2854,0.1483,0.2601,0.3884,0.3515
42,11008,733,0.2697,0.1697,0.2583,0.3908,0.3509
42,11264,750,0.344,0.1556,0.2556,0.3947,0.3497
42,11520,768,0.2856,0.1622,0.253,0.398,0.349
42,11776,785,0.313,0.157,0.2512,0.4002,0.3486
42,12032,802,0.364,0.0888,0.2501,0.4013,0.3486
42,12288,819,0.1934,0.2409,0.248,0.4038,0.3482
42,12544,836,-0.2036,0.1515,0.2457,0.4065,0.3478
42,12800,853,0.2613,0.1652,0.2431,0.4104,0.3465
42,13056,870,-0.5803,0.1739,0.241,0.4135,0.3454
42,13312,887,0.334,0.1364,0.239,0.4167,0.3444
42,13568,904,0.2649,0.0302,0.2375,0.4189,0.3437
42,13824,921,0.218,0.2193,0.2357,0.4222,0.3421
42,14080,938,0.3065,0.1501,0.2346,0.4237,0.3417
42,14336,955,0.2802,0.1535,0.2333,0.4258,0.341
42,14592,972,0.2765,0.1451,0.2315,0.428,0.3405
42,14848,989,0.2814,0.1444,0.2301,0.4304,0.3395
42,15104,1006,0.2399,0.1165,0.2282,0.4331,0.3387
42,15360,1024,0.3098,0.1546,0.2267,0.4353,0.338
42,15616,1041,0.3685,0.1255,0.2253,0.4374,0.3373
42,15872,1058,-0.1697,0.1943,0.2238,0.4399,0.3363
42,16128,1075,0.2835,0.1397,0.2226,0.4424,0.335
42,16384,1092,0.1517,0.0924,0.2209,0.4453,0.3338
42,16640,1109,0.1305,0.1426,0.22,0.4469,0.3331
42,16896,1126,0.1906,0.2071,0.2189,0.4492,0.3319
42,17152,1143,0.2428,0.1849,0.2179,0.4517,0.3304
42,17408,1160,0.28,0.1986,0.2168,0.4539,0.3293
42,17664,1177,0.2426,0.167,0.2156,0.4561,0.3283
42,17920,1194,0.1689,0.1865,0.2142,0.4583,0.3275
42,18176,1211,0.2855,0.1586,0.2136,0.4601,0.3263
42,18432,1228,0.2615,0.1763,0.2128,0.4618,0.3254
42,18688,1245,0.2747,0.2023,0.2116,0.4636,0.3248
42,18944,1262,0.2528,0.1681,0.2105,0.4658,0.3237
42,19200,1280,0.3065,0.1687,0.2094,0.468,0.3226
42,19456,1297,0.2955,0.1568,0.2086,0.4699,0.3215
42,19712,1314,0.1528,0.183,0.2076,0.4718,0.3206
42,19968,1331,0.145,0.205,0.2066,0.4732,0.3202
42,20224,1348,-0.2955,0.1524,0.2055,0.4753,0.3192
42,20480,1365,-0.2259,0.1216,0.205,0.4767,0.3184
42,20736,1382,0.2649,0.1191,0.204,0.4785,0.3174
42,20992,1399,0.1963,0.2263,0.203,0.4812,0.3158
42,21248,1416,0.2667,0.2153,0.2019,0.4836,0.3145
42,21504,1433,0.2081,0.1749,0.2008,0.4855,0.3137
42,21760,1450,0.2038,0.154,0.2,0.4871,0.3129
42,22016,1467,0.2728,0.1539,0.1991,0.4894,0.3115
42,22272,1484,0.301,0.2006,0.1979,0.4916,0.3104
42,22528,1501,0.2796,0.1781,0.197,0.4931,0.3099
42,22784,1518,0.1902,0.2066,0.1959,0.4953,0.3088
42,23040,1536,-0.5953,0.1688,0.1951,0.4967,0.3082
42,23296,1553,0.2942,0.1973,0.1943,0.4983,0.3073
42,23552,1570,0.2363,0.1998,0.1933,0.5006,0.3062
42,23808,1587,0.1279,0.1859,0.1927,0.5021,0.3052
42,24064,1604,0.1583,0.201,0.1918,0.5039,0.3043
42,24320,1621,-0.6499,0.1665,0.1908,0.5055,0.3037
42,24576,1638,-0.1614,0.1493,0.1901,0.5069,0.303
