case_id,rater1,rater2,rater3,max_pairwise_difference,adjudication_required
BM-001,0.90,0.90,0.95,0.0500,false
BM-002,0.95,1.00,0.99,0.0500,false
BM-003,0.75,0.70,0.74,0.0500,false
BM-004,0.50,0.50,0.58,0.0800,false
BM-005,0.15,0.20,0.08,0.1200,false
BM-006,0.25,0.10,0.34,0.2400,true
BM-007,0.05,0.10,0.03,0.0700,false
BM-008,0.15,0.25,0.16,0.1000,false
BM-009,0.88,0.90,0.98,0.1000,false
BM-010,0.95,1.00,1.00,0.0500,false
BM-011,0.45,0.50,0.57,0.1200,false
BM-012,0.05,0.15,0.05,0.1000,false
BM-013,0.20,0.20,0.10,0.1000,false
BM-014,0.30,0.10,0.38,0.2800,true
BM-015,0.15,0.15,0.05,0.1000,false
BM-016,0.85,0.85,0.88,0.0300,false
BM-017,0.85,0.90,0.97,0.1200,false
BM-018,0.95,1.00,1.00,0.0500,false
BM-019,0.45,0.50,0.78,0.3300,true
BM-020,0.10,0.20,0.05,0.1500,false
BM-021,0.10,0.20,0.04,0.1600,false
BM-022,0.30,0.10,0.36,0.2600,true
BM-023,0.10,0.25,0.06,0.1900,false
BM-024,0.10,0.20,0.12,0.1000,false
BM-025,0.85,0.90,0.96,0.1100,false
BM-026,0.95,1.00,1.00,0.0500,false
BM-027,0.65,0.55,0.70,0.1500,false
BM-028,0.05,0.10,0.03,0.0700,false
BM-029,0.05,0.10,0.02,0.0800,false
BM-030,0.30,0.10,0.35,0.2500,true
BM-031,0.15,0.25,0.07,0.1800,false
BM-032,0.70,0.75,0.90,0.2000,false
BM-033,0.88,0.90,0.99,0.1100,false
BM-034,0.95,1.00,1.00,0.0500,false
BM-035,0.72,0.70,0.74,0.0400,false
BM-036,0.45,0.50,0.58,0.1300,false
BM-037,0.08,0.15,0.06,0.0900,false
BM-038,0.35,0.10,0.39,0.2900,true
BM-039,0.05,0.10,0.02,0.0800,false
BM-040,0.15,0.15,0.20,0.0500,false
BM-041,0.85,0.90,0.96,0.1100,false
BM-042,0.95,1.00,1.00,0.0500,false
BM-043,0.30,0.45,0.36,0.1500,false
BM-044,0.10,0.20,0.05,0.1500,false
BM-045,0.08,0.15,0.04,0.1100,false
BM-046,0.35,0.10,0.39,0.2900,true
BM-047,0.15,0.25,0.08,0.1700,false
BM-048,0.75,0.90,0.91,0.1600,false
BM-049,0.85,0.90,0.98,0.1300,false
BM-050,0.97,1.00,1.00,0.0300,false
BM-051,0.40,0.45,0.71,0.3100,true
BM-052,0.08,0.10,0.08,0.0200,false
BM-053,0.08,0.15,0.10,0.0700,false
BM-054,0.35,0.10,0.39,0.2900,true
BM-055,0.08,0.10,0.02,0.0800,false
BM-056,0.15,0.15,0.06,0.0900,false
BM-057,0.85,0.90,0.99,0.1400,false
BM-058,0.95,1.00,1.00,0.0500,false
BM-059,0.55,0.60,0.68,0.1300,false
BM-060,0.05,0.10,0.02,0.0800,false
BM-061,0.05,0.10,0.04,0.0600,false
BM-062,0.35,0.10,0.40,0.3000,true
BM-063,0.10,0.20,0.03,0.1700,false
BM-064,0.82,0.85,0.97,0.1500,false
