condition,persona,eval_seed,guardrail_id,raw_action,final_action
PPO+Guardrails (Seed 123),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,1001,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,2002,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,3003,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,4004,g2_anxiety_stabilizer_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),normal,5005,g5_partial_same,Same,Same
PPO+Guardrails (Seed 123),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,1001,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,2002,g1_overload_protection,Easier,Easier
PPO+Guardrails (Seed 123),overconfident_fail,3003,g1_overload_protection,Easier,Easier
