dimension,dim_index,input_value,action,action_name
s0_perf,0,0.0,1,Same
s0_perf,0,0.1,1,Same
s0_perf,0,0.2,1,Same
s0_perf,0,0.3,1,Same
s0_perf,0,0.4,1,Same
s0_perf,0,0.5,1,Same
s0_perf,0,0.6,1,Same
s0_perf,0,0.7,1,Same
s0_perf,0,0.8,1,Same
s0_perf,0,0.9,1,Same
s0_perf,0,1.0,1,Same
s1_avg_perf,1,0.0,0,Easier
s1_avg_perf,1,0.1,0,Easier
s1_avg_perf,1,0.2,1,Same
s1_avg_perf,1,0.3,1,Same
s1_avg_perf,1,0.4,1,Same
s1_avg_perf,1,0.5,1,Same
s1_avg_perf,1,0.6,1,Same
s1_avg_perf,1,0.7,1,Same
s1_avg_perf,1,0.8,1,Same
s1_avg_perf,1,0.9,1,Same
s1_avg_perf,1,1.0,1,Same
s2_conf,2,0.0,1,Same
s2_conf,2,0.1,1,Same
s2_conf,2,0.2,1,Same
s2_conf,2,0.3,1,Same
s2_conf,2,0.4,1,Same
s2_conf,2,0.5,1,Same
s2_conf,2,0.6,1,Same
s2_conf,2,0.7,1,Same
s2_conf,2,0.8,1,Same
s2_conf,2,0.9,1,Same
s2_conf,2,1.0,1,Same
s3_hes,3,0.0,1,Same
s3_hes,3,0.1,1,Same
s3_hes,3,0.2,1,Same
s3_hes,3,0.3,1,Same
s3_hes,3,0.4,1,Same
s3_hes,3,0.5,1,Same
s3_hes,3,0.6,1,Same
s3_hes,3,0.7,1,Same
s3_hes,3,0.8,1,Same
s3_hes,3,0.9,1,Same
s3_hes,3,1.0,1,Same
s4_progress,4,0.0,1,Same
s4_progress,4,0.1,1,Same
s4_progress,4,0.2,1,Same
s4_progress,4,0.3,1,Same
s4_progress,4,0.4,1,Same
s4_progress,4,0.5,1,Same
s4_progress,4,0.6,1,Same
s4_progress,4,0.7,1,Same
s4_progress,4,0.8,1,Same
s4_progress,4,0.9,1,Same
s4_progress,4,1.0,1,Same
s5_diff,5,0.0,2,Harder
s5_diff,5,0.1,2,Harder
s5_diff,5,0.2,2,Harder
s5_diff,5,0.3,2,Harder
s5_diff,5,0.4,2,Harder
s5_diff,5,0.5,2,Harder
s5_diff,5,0.6,1,Same
s5_diff,5,0.7,1,Same
s5_diff,5,0.8,1,Same
s5_diff,5,0.9,1,Same
s5_diff,5,1.0,1,Same
