run_id,controller_id,persona,seed,mean_score,score_variance,adaptation_rho,slope,oscillations,guardrails
EXP1_fixed_difficulty_normal_1001,fixed_difficulty,normal,1001,0.311,0.0006,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1002,fixed_difficulty,normal,1002,0.3001,0.0004,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1003,fixed_difficulty,normal,1003,0.2961,0.0007,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1004,fixed_difficulty,normal,1004,0.307,0.0013,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1005,fixed_difficulty,normal,1005,0.31,0.0008,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1006,fixed_difficulty,normal,1006,0.309,0.0006,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1007,fixed_difficulty,normal,1007,0.312,0.0009,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1008,fixed_difficulty,normal,1008,0.3038,0.0009,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1009,fixed_difficulty,normal,1009,0.3035,0.001,0.0,-0.0,0,0
EXP1_fixed_difficulty_normal_1010,fixed_difficulty,normal,1010,0.2893,0.0006,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1001,fixed_difficulty,nervous_expert,1001,0.879,0.0013,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1002,fixed_difficulty,nervous_expert,1002,0.8669,0.001,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1003,fixed_difficulty,nervous_expert,1003,0.8708,0.0013,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1004,fixed_difficulty,nervous_expert,1004,0.8849,0.0009,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1005,fixed_difficulty,nervous_expert,1005,0.8763,0.0012,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1006,fixed_difficulty,nervous_expert,1006,0.8719,0.0011,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1007,fixed_difficulty,nervous_expert,1007,0.8777,0.001,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1008,fixed_difficulty,nervous_expert,1008,0.8806,0.0017,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1009,fixed_difficulty,nervous_expert,1009,0.8608,0.001,0.0,-0.0,0,0
EXP1_fixed_difficulty_nervous_expert_1010,fixed_difficulty,nervous_expert,1010,0.8792,0.0014,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1001,fixed_difficulty,lucky_guesser,1001,0.9429,0.0001,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1002,fixed_difficulty,lucky_guesser,1002,0.9461,0.0002,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1003,fixed_difficulty,lucky_guesser,1003,0.9544,0.0003,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1004,fixed_difficulty,lucky_guesser,1004,0.9508,0.0003,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1005,fixed_difficulty,lucky_guesser,1005,0.9529,0.0002,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1006,fixed_difficulty,lucky_guesser,1006,0.9525,0.0001,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1007,fixed_difficulty,lucky_guesser,1007,0.9438,0.0001,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1008,fixed_difficulty,lucky_guesser,1008,0.9431,0.0003,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1009,fixed_difficulty,lucky_guesser,1009,0.9487,0.0001,0.0,-0.0,0,0
EXP1_fixed_difficulty_lucky_guesser_1010,fixed_difficulty,lucky_guesser,1010,0.9531,0.0001,0.0,-0.0,0,0
EXP1_fixed_difficulty_overconfident_fail_1001,fixed_difficulty,overconfident_fail,1001,0.0415,0.0009,0.0,-0.0,0,0
EXP1_fixed_difficulty_overconfident_fail_1002,fixed_difficulty,overconfident_fail,1002,0.0287,0.0007,0.0,-0.0,0,0
EXP1_fixed_difficulty_overconfident_fail_1003,fixed_difficulty,overconfident_fail,1003,0.0345,0.0012,0.0,-0.0,0,0
EXP1_fixed_difficulty_overconfident_fail_1004,fixed_difficulty,overconfident_fail,1004,0.0447,0.0009,0.0,-0.0,0,0
EXP1_fixed_difficulty_overconfident_fail_1005,fixed_difficulty,overconfident_fail,1005,0.0398,0.0014,0.0,-0.0,0,0
