item_id,qid,human_score,S1,S2,R,s1_only,s2_only,r_only,s1_plus_r,s2_plus_r,s1_plus_s2,full_pipeline
pilot_1_qid1,1,0.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot_2_qid1,1,0.1811,0.1506,0.0,0.0,0.1506,0.0,0.0,0.0346,0.0,0.0452,0.0226
pilot_3_qid1,1,0.5455,0.3206,0.0,0.441,0.3206,0.0,0.441,0.4133,0.2602,0.0962,0.2686
pilot_4_qid1,1,0.5476,0.2105,0.0,0.0,0.2105,0.0,0.0,0.0484,0.0,0.0632,0.0316
pilot_5_qid1,1,0.9124,0.3723,0.75,0.3904,0.3723,0.75,0.3904,0.3862,0.5378,0.6367,0.5135
pilot_6_qid3,3,0.0535,0.1113,0.0,0.0,0.1113,0.0,0.0,0.0256,0.0,0.0334,0.0167
pilot_7_qid3,3,0.1766,0.0979,0.0,0.0,0.0979,0.0,0.0,0.0225,0.0,0.0294,0.0147
pilot_8_qid3,3,0.545,0.4809,0.75,0.0,0.4809,0.45,0.0,0.1106,0.1845,0.4593,0.2296
pilot_9_qid3,3,0.9169,0.2351,0.5,0.0,0.2351,0.3,0.0,0.0541,0.123,0.2805,0.1403
pilot_10_qid3,3,0.8658,0.3927,1.0,0.0,0.3927,0.6,0.0,0.0903,0.246,0.5378,0.2689
pilot_11_qid10,10,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot_12_qid10,10,0.2035,0.2342,0.0,0.0,0.2342,0.0,0.0,0.0539,0.0,0.0703,0.0351
pilot_13_qid10,10,0.2005,0.2719,0.25,0.0,0.2719,0.15,0.0,0.0625,0.0615,0.1866,0.0933
pilot_14_qid10,10,0.5615,0.4626,0.5,0.0,0.4626,0.3,0.0,0.1064,0.123,0.3488,0.1744
pilot_15_qid10,10,0.8639,0.4412,1.0,0.0,0.4412,0.6,0.0,0.1015,0.246,0.5523,0.2762
pilot_16_qid41,41,0.0595,0.0778,0.0,0.0,0.0778,0.0,0.0,0.0179,0.0,0.0233,0.0117
pilot_17_qid41,41,0.0537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilot_18_qid41,41,0.2159,0.3117,0.25,0.0,0.3117,0.15,0.0,0.0717,0.0615,0.1985,0.0992
pilot_19_qid41,41,0.5353,0.6521,0.75,1.0,0.6521,0.75,1.0,0.92,0.8975,0.7206,0.8603
pilot_20_qid41,41,0.8921,0.5823,0.75,1.0,0.5823,0.75,1.0,0.9039,0.8975,0.6997,0.8498
