run_id,condition_id,seed,mean_score,score_variance,adaptation_rho,followups,timing_modifier
EXP5_full_system_3001,full_system,3001,0.4999,0.0009,0.0,1,0.0
EXP5_full_system_3002,full_system,3002,0.5159,0.0004,0.0,0,0.0
EXP5_full_system_3003,full_system,3003,0.5209,0.0066,0.172,1,0.0
EXP5_full_system_3004,full_system,3004,0.4907,0.0009,0.0,2,0.0
EXP5_full_system_3005,full_system,3005,0.5107,0.0062,0.0344,1,0.0
EXP5_full_system_3006,full_system,3006,0.5013,0.0012,0.0,0,0.0
EXP5_full_system_3007,full_system,3007,0.518,0.0013,0.0,0,0.0
EXP5_full_system_3008,full_system,3008,0.5076,0.0006,0.0,0,0.0
EXP5_full_system_3009,full_system,3009,0.5067,0.0007,0.0,0,0.0
EXP5_full_system_3010,full_system,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_rl_adaptation_3001,minus_rl_adaptation,3001,0.4999,0.0009,0.0,1,0.0
EXP5_minus_rl_adaptation_3002,minus_rl_adaptation,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_rl_adaptation_3003,minus_rl_adaptation,3003,0.4988,0.0013,0.0,1,0.0
EXP5_minus_rl_adaptation_3004,minus_rl_adaptation,3004,0.4907,0.0009,0.0,2,0.0
EXP5_minus_rl_adaptation_3005,minus_rl_adaptation,3005,0.4885,0.0015,0.0,2,0.0
EXP5_minus_rl_adaptation_3006,minus_rl_adaptation,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_rl_adaptation_3007,minus_rl_adaptation,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_rl_adaptation_3008,minus_rl_adaptation,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_rl_adaptation_3009,minus_rl_adaptation,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_rl_adaptation_3010,minus_rl_adaptation,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_followup_probing_3001,minus_followup_probing,3001,0.4999,0.0009,0.0,0,0.0
EXP5_minus_followup_probing_3002,minus_followup_probing,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_followup_probing_3003,minus_followup_probing,3003,0.5209,0.0066,0.172,0,0.0
EXP5_minus_followup_probing_3004,minus_followup_probing,3004,0.4907,0.0009,0.0,0,0.0
EXP5_minus_followup_probing_3005,minus_followup_probing,3005,0.5107,0.0062,0.0344,0,0.0
EXP5_minus_followup_probing_3006,minus_followup_probing,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_followup_probing_3007,minus_followup_probing,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_followup_probing_3008,minus_followup_probing,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_followup_probing_3009,minus_followup_probing,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_followup_probing_3010,minus_followup_probing,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_formative_feedback_3001,minus_formative_feedback,3001,0.4999,0.0009,0.0,1,0.0
EXP5_minus_formative_feedback_3002,minus_formative_feedback,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_formative_feedback_3003,minus_formative_feedback,3003,0.5209,0.0066,0.172,1,0.0
EXP5_minus_formative_feedback_3004,minus_formative_feedback,3004,0.4907,0.0009,0.0,2,0.0
EXP5_minus_formative_feedback_3005,minus_formative_feedback,3005,0.5107,0.0062,0.0344,1,0.0
EXP5_minus_formative_feedback_3006,minus_formative_feedback,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_formative_feedback_3007,minus_formative_feedback,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_formative_feedback_3008,minus_formative_feedback,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_formative_feedback_3009,minus_formative_feedback,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_formative_feedback_3010,minus_formative_feedback,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_timing_modulation_3001,minus_timing_modulation,3001,0.4999,0.0009,0.0,1,0.0
EXP5_minus_timing_modulation_3002,minus_timing_modulation,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_timing_modulation_3003,minus_timing_modulation,3003,0.5209,0.0066,0.172,1,0.0
EXP5_minus_timing_modulation_3004,minus_timing_modulation,3004,0.4907,0.0009,0.0,2,0.0
EXP5_minus_timing_modulation_3005,minus_timing_modulation,3005,0.5107,0.0062,0.0344,1,0.0
EXP5_minus_timing_modulation_3006,minus_timing_modulation,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_timing_modulation_3007,minus_timing_modulation,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_timing_modulation_3008,minus_timing_modulation,3008,0.5076,0.0006,0.0,0,0.0
EXP5_minus_timing_modulation_3009,minus_timing_modulation,3009,0.5067,0.0007,0.0,0,0.0
EXP5_minus_timing_modulation_3010,minus_timing_modulation,3010,0.4951,0.0005,0.0,0,0.0
EXP5_minus_speech_prosody_3001,minus_speech_prosody,3001,0.4999,0.0009,0.0,1,0.0
EXP5_minus_speech_prosody_3002,minus_speech_prosody,3002,0.5159,0.0004,0.0,0,0.0
EXP5_minus_speech_prosody_3003,minus_speech_prosody,3003,0.4988,0.0013,0.0,1,0.0
EXP5_minus_speech_prosody_3004,minus_speech_prosody,3004,0.4907,0.0009,0.0,2,0.0
EXP5_minus_speech_prosody_3005,minus_speech_prosody,3005,0.4885,0.0015,0.0,2,0.0
EXP5_minus_speech_prosody_3006,minus_speech_prosody,3006,0.5013,0.0012,0.0,0,0.0
EXP5_minus_speech_prosody_3007,minus_speech_prosody,3007,0.518,0.0013,0.0,0,0.0
EXP5_minus_speech_prosody_3008,minus_speech_prosody,3008,0.5076,0.0006,0.0,0,0.0
